,preyID,preyPhylum,preyClass,preyOrder,preyFamily,preyGenus,preyspecies
Coluber constrictor,Coluber constrictor,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor
Masticophis flagellum testaceus,Masticophis flagellum testaceus,Chordata,Reptilia,Squamata,Colubridae,Masticophis,Masticophis flagellum
Nyctimystes infrafrenatus,Nyctimystes infrafrenatus,Chordata,Amphibia,Anura,Pelodryadidae,Nyctimystes,Nyctimystes infrafrenatus
Salmo trutta,Salmo trutta,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,Salmo trutta
Myiozetetes similis,Myiozetetes similis,Chordata,Aves,Passeriformes,Tyrannidae,Myiozetetes,Myiozetetes similis
Rhacophorus pardalis,Rhacophorus pardalis,Chordata,Amphibia,Anura,Rhacophoridae,Rhacophorus,Rhacophorus pardalis
Ablepharus deserti,Ablepharus deserti,Chordata,Reptilia,Squamata,Scincidae,Ablepharus,Ablepharus deserti
Basiliscus basiliscus,Basiliscus basiliscus,Chordata,Reptilia,Squamata,Corytophanidae,Basiliscus,Basiliscus basiliscus
Hipposideros pomona,Hipposideros pomona,Chordata,Mammalia,Chiroptera,Hipposideridae,Hipposideros,Hipposideros pomona
Noturus,Noturus,Chordata,Teleostei,Siluriformes,Ictaluridae,Noturus,NA
Pristimantis,Pristimantis,Chordata,Amphibia,Anura,Craugastoridae,Pristimantis,NA
Cavia aperea,Cavia aperea,Chordata,Mammalia,Rodentia,Caviidae,Cavia,Cavia aperea
Sciurus colliaei,Sciurus colliaei,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus colliaei
Anaxyrus fowleri,Anaxyrus fowleri,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus fowleri
Lampropeltis holbrooki,Lampropeltis holbrooki,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis holbrooki
Hypsiglena chlorophaea,Hypsiglena chlorophaea,Chordata,Reptilia,Squamata,Colubridae,Hypsiglena,Hypsiglena chlorophaea
Polychrus auduboni,Polychrus auduboni,Chordata,Reptilia,Squamata,Polychrotidae,Polychrus,Polychrus auduboni
Eptesicus fuscus,Eptesicus fuscus,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus
Streptopelia decaocto,Streptopelia decaocto,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,Streptopelia decaocto
Limnodynastes tasmaniensis,Limnodynastes tasmaniensis,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes tasmaniensis
Parablennius,Parablennius,Chordata,Teleostei,Perciformes,Blenniidae,Parablennius,NA
Hylidae,Hylidae,Chordata,Amphibia,Anura,Hylidae,NA,NA
Bellatorias frerei,Bellatorias frerei,Chordata,Reptilia,Squamata,Scincidae,Bellatorias,Bellatorias frerei
Fejervarya sakishimensis,Fejervarya sakishimensis,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya,Fejervarya sakishimensis
Synbranchus marmoratus,Synbranchus marmoratus,Chordata,Teleostei,Synbranchiformes,Synbranchidae,Synbranchus,Synbranchus marmoratus
Ranoidea chloris,Ranoidea chloris,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,Ranoidea chloris
Storeria occipitomaculata,Storeria occipitomaculata,Chordata,Reptilia,Squamata,Colubridae,Storeria,Storeria occipitomaculata
Eutropis multifasciata,Eutropis multifasciata,Chordata,Reptilia,Squamata,Scincidae,Eutropis,Eutropis multifasciata
Fejervarya,Fejervarya,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya,NA
Pituophis catenifer annectens,Pituophis catenifer annectens,Chordata,Reptilia,Squamata,Colubridae,Pituophis,Pituophis catenifer
Enhydris enhydris,Enhydris enhydris,Chordata,Reptilia,Squamata,Homalopsidae,Enhydris,Enhydris enhydris
Geobatrachus walkeri,Geobatrachus walkeri,Chordata,Amphibia,Anura,NA,Geobatrachus,Geobatrachus walkeri
Muroidea,Muroidea,Chordata,Mammalia,Rodentia,NA,NA,NA
Boana boans,Boana boans,Chordata,Amphibia,Anura,Hylidae,Boana,Boana boans
Hemidactylus platyurus,Hemidactylus platyurus,Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus platyurus
Campylorhynchus rufinucha,Campylorhynchus rufinucha,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus rufinucha
Sceloporus tristichus,Sceloporus tristichus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus tristichus
Sylvirana guentheri,Sylvirana guentheri,Chordata,Amphibia,Anura,Ranidae,Sylvirana,Sylvirana guentheri
Leptopelis natalensis,Leptopelis natalensis,Chordata,Amphibia,Anura,Arthroleptidae,Leptopelis,Leptopelis natalensis
Intellagama lesueurii,Intellagama lesueurii,Chordata,Reptilia,Squamata,Agamidae,Intellagama,Intellagama lesueurii
Ptyas mucosa,Ptyas mucosa,Chordata,Reptilia,Squamata,Colubridae,Ptyas,Ptyas mucosa
Trimeresurus albolabris,Trimeresurus albolabris,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,Trimeresurus albolabris
Dendrocygna autumnalis,Dendrocygna autumnalis,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna autumnalis
Colius striatus,Colius striatus,Chordata,Aves,Coliiformes,Coliidae,Colius,Colius striatus
Ichthyosaura alpestris,Ichthyosaura alpestris,Chordata,Amphibia,Caudata,Salamandridae,Ichthyosaura,Ichthyosaura alpestris
Helicops angulatus,Helicops angulatus,Chordata,Reptilia,Squamata,Colubridae,Helicops,Helicops angulatus
Gymnophiona,Gymnophiona,Chordata,Amphibia,Gymnophiona,NA,NA,NA
Phelsuma parva,Phelsuma parva,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma parva
Aglyptodactylus madagascariensis,Aglyptodactylus madagascariensis,Chordata,Amphibia,Anura,Mantellidae,Aglyptodactylus,Aglyptodactylus madagascariensis
Pelobates fuscus,Pelobates fuscus,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,Pelobates fuscus
Falco,Falco,Chordata,Aves,Falconiformes,Falconidae,Falco,NA
Forpus xanthopterygius,Forpus xanthopterygius,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,Forpus xanthopterygius
Nerodia taxispilota,Nerodia taxispilota,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia taxispilota
Tragelaphus sylvaticus sylvaticus,Tragelaphus sylvaticus sylvaticus,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus sylvaticus
Pseudocheirus occidentalis,Pseudocheirus occidentalis,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Pseudocheirus,Pseudocheirus occidentalis
Daptrius chimachima,Daptrius chimachima,Chordata,Aves,Falconiformes,Falconidae,Daptrius,Daptrius chimachima
Microtus pinetorum,Microtus pinetorum,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus pinetorum
Ranoidea gracilenta,Ranoidea gracilenta,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,Ranoidea gracilenta
Ctenotus taeniolatus,Ctenotus taeniolatus,Chordata,Reptilia,Squamata,Scincidae,Ctenotus,Ctenotus taeniolatus
Lycodon aulicus,Lycodon aulicus,Chordata,Reptilia,Squamata,Colubridae,Lycodon,Lycodon aulicus
Trachycephalus vermiculatus,Trachycephalus vermiculatus,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,Trachycephalus vermiculatus
Cobitis,Cobitis,Chordata,Teleostei,Cypriniformes,Cobitidae,Cobitis,NA
Osteopilus dominicensis,Osteopilus dominicensis,Chordata,Amphibia,Anura,Hylidae,Osteopilus,Osteopilus dominicensis
Gasterosteidae,Gasterosteidae,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,NA,NA
Lopholaimus antarcticus,Lopholaimus antarcticus,Chordata,Aves,Columbiformes,Columbidae,Lopholaimus,Lopholaimus antarcticus
Leptodactylidae,Leptodactylidae,Chordata,Amphibia,Anura,Leptodactylidae,NA,NA
Oryctolagus cuniculus domesticus,Oryctolagus cuniculus domesticus,Chordata,Mammalia,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
Aspidoscelis tigris,Aspidoscelis tigris,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis tigris
Tiliqua rugosa,Tiliqua rugosa,Chordata,Reptilia,Squamata,Scincidae,Tiliqua,Tiliqua rugosa
Naja naja,Naja naja,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja naja
Buergeria,Buergeria,Chordata,Amphibia,Anura,Rhacophoridae,Buergeria,NA
Loricarioidei,Loricarioidei,Chordata,Teleostei,Siluriformes,NA,NA,NA
Lepomis macrochirus,Lepomis macrochirus,Chordata,Teleostei,Perciformes,Centrarchidae,Lepomis,Lepomis macrochirus
Boana,Boana,Chordata,Amphibia,Anura,Hylidae,Boana,NA
Sceloporus poinsettii,Sceloporus poinsettii,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus poinsettii
Ameiurus natalis,Ameiurus natalis,Chordata,Teleostei,Siluriformes,Ictaluridae,Ameiurus,Ameiurus natalis
Squamata,Squamata,Chordata,Reptilia,Squamata,NA,NA,NA
Achalinus rufescens,Achalinus rufescens,Chordata,Reptilia,Squamata,Xenodermidae,Achalinus,Achalinus rufescens
Amnirana darlingi,Amnirana darlingi,Chordata,Amphibia,Anura,Ranidae,Amnirana,Amnirana darlingi
Calamaria pavimentata,Calamaria pavimentata,Chordata,Reptilia,Squamata,Colubridae,Calamaria,Calamaria pavimentata
Dolichophis caspius,Dolichophis caspius,Chordata,Reptilia,Squamata,Colubridae,Dolichophis,Dolichophis caspius
Perccottus glenii,Perccottus glenii,Chordata,Teleostei,Perciformes,Odontobutidae,Perccottus,Perccottus glenii
Nerodia sipedon,Nerodia sipedon,Chordata,Reptilia,Squamata,Colubridae,Nerodia,Nerodia sipedon
Phimosus infuscatus,Phimosus infuscatus,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,Phimosus infuscatus
Ammospermophilus harrisii,Ammospermophilus harrisii,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus harrisii
Gastrophryne carolinensis,Gastrophryne carolinensis,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne carolinensis
Micrurus paraensis,Micrurus paraensis,Chordata,Reptilia,Squamata,Elapidae,Micrurus,Micrurus paraensis
Sceloporus mucronatus,Sceloporus mucronatus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus mucronatus
Fejervarya limnocharis,Fejervarya limnocharis,Chordata,Amphibia,Anura,Dicroglossidae,Fejervarya,Fejervarya limnocharis
Soricidae,Soricidae,Chordata,Mammalia,Soricomorpha,Soricidae,NA,NA
Podarcis melisellensis,Podarcis melisellensis,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis melisellensis
Salamandridae,Salamandridae,Chordata,Amphibia,Caudata,Salamandridae,NA,NA
Vireo gilvus,Vireo gilvus,Chordata,Aves,Passeriformes,Vireonidae,Vireo,Vireo gilvus
Limnodynastes dorsalis,Limnodynastes dorsalis,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes dorsalis
Discoglossus galganoi,Discoglossus galganoi,Chordata,Amphibia,Anura,Alytidae,Discoglossus,Discoglossus galganoi
Cyrtodactylus,Cyrtodactylus,Chordata,Reptilia,Squamata,Gekkonidae,Cyrtodactylus,NA
Synbranchidae,Synbranchidae,Chordata,Teleostei,Synbranchiformes,Synbranchidae,NA,NA
Bufo gargarizans,Bufo gargarizans,Chordata,Amphibia,Anura,Bufonidae,Bufo,Bufo gargarizans
Cicadoidea,Cicadoidea,Arthropoda,Insecta,Hemiptera,NA,NA,NA
Holbrookia maculata,Holbrookia maculata,Chordata,Reptilia,Squamata,Phrynosomatidae,Holbrookia,Holbrookia maculata
Desmognathus,Desmognathus,Chordata,Amphibia,Caudata,Plethodontidae,Desmognathus,NA
Firouzophrynus stomaticus,Firouzophrynus stomaticus,Chordata,Amphibia,Anura,Bufonidae,Firouzophrynus,Firouzophrynus stomaticus
Coluber constrictor paludicola,Coluber constrictor paludicola,Chordata,Reptilia,Squamata,Colubridae,Coluber,Coluber constrictor
Pterocryptis anomala,Pterocryptis anomala,Chordata,Teleostei,Siluriformes,Siluridae,Pterocryptis,Pterocryptis anomala
Urocitellus richardsonii,Urocitellus richardsonii,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus richardsonii
Rana sierrae,Rana sierrae,Chordata,Amphibia,Anura,Ranidae,Rana,Rana sierrae
Tinca tinca,Tinca tinca,Chordata,Teleostei,Cypriniformes,Cyprinidae,Tinca,Tinca tinca
Leptodactylus fuscus,Leptodactylus fuscus,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus fuscus
Anguilliformes,Anguilliformes,Chordata,Teleostei,Anguilliformes,NA,NA,NA
Aramides albiventris,Aramides albiventris,Chordata,Aves,Gruiformes,Rallidae,Aramides,Aramides albiventris
Lampropeltis nigra,Lampropeltis nigra,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis nigra
Boana pulchella,Boana pulchella,Chordata,Amphibia,Anura,Hylidae,Boana,Boana pulchella
Sceloporus graciosus,Sceloporus graciosus,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,Sceloporus graciosus
Pelobates cultripes,Pelobates cultripes,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,Pelobates cultripes
Naja atra,Naja atra,Chordata,Reptilia,Squamata,Elapidae,Naja,Naja atra
Morelia spilota metcalfei,Morelia spilota metcalfei,Chordata,Reptilia,Squamata,Pythonidae,Morelia,Morelia spilota
Pseudopus apodus,Pseudopus apodus,Chordata,Reptilia,Squamata,Anguidae,Pseudopus,Pseudopus apodus
Trimerodytes aequifasciatus,Trimerodytes aequifasciatus,Chordata,Reptilia,Squamata,Colubridae,Trimerodytes,Trimerodytes aequifasciatus
Anguis,Anguis,Chordata,Reptilia,Squamata,Anguidae,Anguis,NA
Glaucomys volans,Glaucomys volans,Chordata,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys volans
Podarcis liolepis,Podarcis liolepis,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,Podarcis liolepis
Oligodon formosanus,Oligodon formosanus,Chordata,Reptilia,Squamata,Colubridae,Oligodon,Oligodon formosanus
Anas platyrhynchos,Anas platyrhynchos,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas platyrhynchos
Leposternon microcephalum,Leposternon microcephalum,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,Leposternon microcephalum
Atractus trilineatus,Atractus trilineatus,Chordata,Reptilia,Squamata,Colubridae,Atractus,Atractus trilineatus
Chalcides striatus,Chalcides striatus,Chordata,Reptilia,Squamata,Scincidae,Chalcides,Chalcides striatus
Trachycephalus typhonius,Trachycephalus typhonius,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,Trachycephalus typhonius
Ranoidea caerulea,Ranoidea caerulea,Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,Ranoidea caerulea
Anomalopus verreauxii,Anomalopus verreauxii,Chordata,Reptilia,Squamata,Scincidae,Anomalopus,Anomalopus verreauxii
Mugilidae,Mugilidae,Chordata,Teleostei,Mugiliformes,Mugilidae,NA,NA
Batrachyla leptopus,Batrachyla leptopus,Chordata,Amphibia,Anura,Batrachylidae,Batrachyla,Batrachyla leptopus
Incilius mazatlanensis,Incilius mazatlanensis,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius mazatlanensis
Stenocercus caducus,Stenocercus caducus,Chordata,Reptilia,Squamata,Tropiduridae,Stenocercus,Stenocercus caducus
Takydromus wolteri,Takydromus wolteri,Chordata,Reptilia,Squamata,Lacertidae,Takydromus,Takydromus wolteri
Oocatochus rufodorsatus,Oocatochus rufodorsatus,Chordata,Reptilia,Squamata,Colubridae,Oocatochus,Oocatochus rufodorsatus
Liolaemus zapallarensis,Liolaemus zapallarensis,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,Liolaemus zapallarensis
Plotosus lineatus,Plotosus lineatus,Chordata,Teleostei,Siluriformes,Plotosidae,Plotosus,Plotosus lineatus
Triturus cristatus,Triturus cristatus,Chordata,Amphibia,Caudata,Salamandridae,Triturus,Triturus cristatus
Thecadactylus rapicauda,Thecadactylus rapicauda,Chordata,Reptilia,Squamata,Phyllodactylidae,Thecadactylus,Thecadactylus rapicauda
Phrynocephalus,Phrynocephalus,Chordata,Reptilia,Squamata,Agamidae,Phrynocephalus,NA
Amblysomus,Amblysomus,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,NA
Leptodactylus savagei,Leptodactylus savagei,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus savagei
Pseudis platensis,Pseudis platensis,Chordata,Amphibia,Anura,Hylidae,Pseudis,Pseudis platensis
Pelophylax lessonae,Pelophylax lessonae,Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax lessonae
Eulamprus heatwolei,Eulamprus heatwolei,Chordata,Reptilia,Squamata,Scincidae,Eulamprus,Eulamprus heatwolei
Leptodactylus rhodomystax,Leptodactylus rhodomystax,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus rhodomystax
Varanus nebulosus,Varanus nebulosus,Chordata,Reptilia,Squamata,Varanidae,Varanus,Varanus nebulosus
Turdus migratorius,Turdus migratorius,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus migratorius
Storeria,Storeria,Chordata,Reptilia,Squamata,Colubridae,Storeria,NA
Sylvilagus bachmani,Sylvilagus bachmani,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus bachmani
Anolis aeneus,Anolis aeneus,Chordata,Reptilia,Squamata,Dactyloidae,Anolis,Anolis aeneus
Limnodynastes terraereginae,Limnodynastes terraereginae,Chordata,Amphibia,Anura,Limnodynastidae,Limnodynastes,Limnodynastes terraereginae
Coronella austriaca,Coronella austriaca,Chordata,Reptilia,Squamata,Colubridae,Coronella,Coronella austriaca
Parus major,Parus major,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major
Plestiodon,Plestiodon,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,NA
Leptopelis,Leptopelis,Chordata,Amphibia,Anura,Arthroleptidae,Leptopelis,NA
Anaxyrus woodhousii australis,Anaxyrus woodhousii australis,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus woodhousii
Lampropeltis calligaster,Lampropeltis calligaster,Chordata,Reptilia,Squamata,Colubridae,Lampropeltis,Lampropeltis calligaster
Tockus,Tockus,Chordata,Aves,Bucerotiformes,Bucerotidae,Tockus,NA
Hemisus marmoratus,Hemisus marmoratus,Chordata,Amphibia,Anura,Hemisotidae,Hemisus,Hemisus marmoratus
Gracililima nyassae,Gracililima nyassae,Chordata,Reptilia,Squamata,Lamprophiidae,Gracililima,Gracililima nyassae
Afrotyphlops bibronii,Afrotyphlops bibronii,Chordata,Reptilia,Squamata,Typhlopidae,Afrotyphlops,Afrotyphlops bibronii
Leuciscidae,Leuciscidae,Chordata,Teleostei,Cypriniformes,Leuciscidae,NA,NA
Melozone crissalis,Melozone crissalis,Chordata,Aves,Passeriformes,Passerellidae,Melozone,Melozone crissalis
Parus minor,Parus minor,Chordata,Aves,Passeriformes,Paridae,Parus,Parus minor
Pelobates,Pelobates,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,NA
Leptodeira,Leptodeira,Chordata,Reptilia,Squamata,Colubridae,Leptodeira,NA
Thamnophis proximus orarius,Thamnophis proximus orarius,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis proximus
Crotalus viridis,Crotalus viridis,Chordata,Reptilia,Squamata,Viperidae,Crotalus,Crotalus viridis
Agkistrodon,Agkistrodon,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon,NA
Liolaemus lemniscatus,Liolaemus lemniscatus,Chordata,Reptilia,Squamata,Liolaemidae,Liolaemus,Liolaemus lemniscatus
Brachyura,Brachyura,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
Pleurodema,Pleurodema,Chordata,Amphibia,Anura,Leptodactylidae,Pleurodema,NA
Smilisca phaeota,Smilisca phaeota,Chordata,Amphibia,Anura,Hylidae,Smilisca,Smilisca phaeota
Molothrus,Molothrus,Chordata,Aves,Passeriformes,Icteridae,Molothrus,NA
Pseudacris triseriata,Pseudacris triseriata,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata
Lacertinae,Lacertinae,Chordata,Reptilia,Squamata,Lacertidae,NA,NA
Geococcyx californianus,Geococcyx californianus,Chordata,Aves,Cuculiformes,Cuculidae,Geococcyx,Geococcyx californianus
Sciurus,Sciurus,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,NA
Incilius marmoreus,Incilius marmoreus,Chordata,Amphibia,Anura,Bufonidae,Incilius,Incilius marmoreus
Trimorphodon paucimaculatus,Trimorphodon paucimaculatus,Chordata,Reptilia,Squamata,Colubridae,Trimorphodon,Trimorphodon paucimaculatus
Aspidoscelis tigris tigris,Aspidoscelis tigris tigris,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis,Aspidoscelis tigris
Ctenosaura,Ctenosaura,Chordata,Reptilia,Squamata,Iguanidae,Ctenosaura,NA
Lithobates chiricahuensis,Lithobates chiricahuensis,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates chiricahuensis
Rhinolophoidea,Rhinolophoidea,Chordata,Mammalia,Chiroptera,NA,NA,NA
Noturus flavus,Noturus flavus,Chordata,Teleostei,Siluriformes,Ictaluridae,Noturus,Noturus flavus
Columbina talpacoti,Columbina talpacoti,Chordata,Aves,Columbiformes,Columbidae,Columbina,Columbina talpacoti
Theraphosidae,Theraphosidae,Arthropoda,Euchelicerata,Araneae,Theraphosidae,NA,NA
Reptilia,Reptilia,Chordata,Reptilia,NA,NA,NA,NA
Salvator merianae,Salvator merianae,Chordata,Reptilia,Squamata,Teiidae,Salvator,Salvator merianae
Anaxyrus terrestris,Anaxyrus terrestris,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus terrestris
Philothamnus,Philothamnus,Chordata,Reptilia,Squamata,Colubridae,Philothamnus,NA
Neorhynchocephalus volaticus,Neorhynchocephalus volaticus,Arthropoda,Insecta,Diptera,Nemestrinidae,Neorhynchocephalus,Neorhynchocephalus volaticus
Parablennius sanguinolentus,Parablennius sanguinolentus,Chordata,Teleostei,Perciformes,Blenniidae,Parablennius,Parablennius sanguinolentus
Esox,Esox,Chordata,Teleostei,Esociformes,Esocidae,Esox,NA
Uperodon mormoratus,Uperodon mormoratus,Chordata,Amphibia,Anura,Microhylidae,Uperodon,Uperodon mormoratus
Bolitoglossa lignicolor,Bolitoglossa lignicolor,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa lignicolor
Lycosoidea,Lycosoidea,Arthropoda,Euchelicerata,Araneae,NA,NA,NA
Hylarana erythraea,Hylarana erythraea,Chordata,Amphibia,Anura,Ranidae,Hylarana,Hylarana erythraea
Plethodon cylindraceus,Plethodon cylindraceus,Chordata,Amphibia,Caudata,Plethodontidae,Plethodon,Plethodon cylindraceus
Acanthosaura,Acanthosaura,Chordata,Reptilia,Squamata,Agamidae,Acanthosaura,NA
Sericornis frontalis,Sericornis frontalis,Chordata,Aves,Passeriformes,Acanthizidae,Sericornis,Sericornis frontalis
Thamnophis sirtalis,Thamnophis sirtalis,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis
Thraupis episcopus,Thraupis episcopus,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,Thraupis episcopus
Sigmodon,Sigmodon,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon,NA
Gastrophryne olivacea,Gastrophryne olivacea,Chordata,Amphibia,Anura,Microhylidae,Gastrophryne,Gastrophryne olivacea
Tupinambis cuzcoensis,Tupinambis cuzcoensis,Chordata,Reptilia,Squamata,Teiidae,Tupinambis,Tupinambis cuzcoensis
Cottus gobio,Cottus gobio,Chordata,Teleostei,Scorpaeniformes,Cottidae,Cottus,Cottus gobio
Ophichthidae,Ophichthidae,Chordata,Teleostei,Anguilliformes,Ophichthidae,NA,NA
Laudakia vulgaris,Laudakia vulgaris,Chordata,Reptilia,Squamata,Agamidae,Ladukia,Laudakia vulgaris
Amia ocellicauda,Amia ocellicauda,Chordata,Teleostei,Amiiformes,Amiidae,Amia,Amia ocellicauda
Acrididea,Acrididea,Arthropoda,Insecta,Orthoptera,NA,NA,NA
Ameiurus melas,Ameiurus melas,Chordata,Teleostei,Siluriformes,Ictaluridae,Ameiurus,Ameiurus melas
Pseudacris regilla,Pseudacris regilla,Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris regilla
Austrelaps superbus,Austrelaps superbus,Chordata,Reptilia,Squamata,Elapidae,Austrelaps,Austrelaps superbus
Psammophilus,Psammophilus,Chordata,Reptilia,Squamata,Agamidae,Psammophilus,NA
Pholidobolus vertebralis,Pholidobolus vertebralis,Chordata,Reptilia,Squamata,Gymnophthalmidae,Pholidobolus,Pholidobolus vertebralis
Breviceps montanus,Breviceps montanus,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps montanus
Bothrops diporus,Bothrops diporus,Chordata,Reptilia,Squamata,Viperidae,Bothrops,Bothrops diporus
Bradypodion pumilum,Bradypodion pumilum,Chordata,Reptilia,Squamata,Chamaeleonidae,Bradypodion,Bradypodion pumilum
Lycodon capucinus,Lycodon capucinus,Chordata,Reptilia,Squamata,Colubridae,Lycodon,Lycodon capucinus
Schismaderma carens,Schismaderma carens,Chordata,Amphibia,Anura,Bufonidae,Schismaderma,Schismaderma carens
Varanus,Varanus,Chordata,Reptilia,Squamata,Varanidae,Varanus,NA
Setophaga coronata,Setophaga coronata,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga coronata
Breviceps mossambicus,Breviceps mossambicus,Chordata,Amphibia,Anura,Brevicipitidae,Breviceps,Breviceps mossambicus
Uperodon systoma,Uperodon systoma,Chordata,Amphibia,Anura,Microhylidae,Uperodon,Uperodon systoma
Notechis scutatus,Notechis scutatus,Chordata,Reptilia,Squamata,Elapidae,Notechis,Notechis scutatus
Gastrotheca riobambae,Gastrotheca riobambae,Chordata,Amphibia,Anura,Hemiphractidae,Gastrotheca,Gastrotheca riobambae
Rhinocheilus lecontei,Rhinocheilus lecontei,Chordata,Reptilia,Squamata,Colubridae,Rhinocheilus,Rhinocheilus lecontei
Protobothrops mucrosquamatus,Protobothrops mucrosquamatus,Chordata,Reptilia,Squamata,Viperidae,Protobothrops,Protobothrops mucrosquamatus
Centropus phasianinus,Centropus phasianinus,Chordata,Aves,Cuculiformes,Cuculidae,Centropus,Centropus phasianinus
Kinyongia tavetana,Kinyongia tavetana,Chordata,Reptilia,Squamata,Chamaeleonidae,Kinyongia,Kinyongia tavetana
Phrynosoma cornutum,Phrynosoma cornutum,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma,Phrynosoma cornutum
Rana japonica,Rana japonica,Chordata,Amphibia,Anura,Ranidae,Rana,Rana japonica
Scincella lateralis,Scincella lateralis,Chordata,Reptilia,Squamata,Scincidae,Scincella,Scincella lateralis
Cottoidei,Cottoidei,Chordata,Teleostei,Scorpaeniformes,NA,NA,NA
Pseudaspis cana,Pseudaspis cana,Chordata,Reptilia,Squamata,Lamprophiidae,Pseudaspis,Pseudaspis cana
Heliobolus lugubris,Heliobolus lugubris,Chordata,Reptilia,Squamata,Lacertidae,Heliobolus,Heliobolus lugubris
